MEDIAN_AGE,TOTAL_POP,PERC_OF_30_34,PERC_MARRIED_COUPLE_FAMILY,PER_CAPITA_INCOME,PERC_OTHER_STATE_OR_ABROAD,PERC_LESS_THAN_HIGH_SCHOOL,PERC_COLLEGE_GRADUATES,CODE,NB_INCIDENTS,NAME
30.8,55297,52.8,26.4,41261,8.6,6.7,10.5,D14,13788,Brighton
35.7,19890,28.2,36.4,75339,3.4,7.9,8.2,A15,4765,Charlestown
33.4,126909,28.2,26.6,29767,2.4000000000000004,18.0,17.1,C11,32875,Dorchester
33.5,18306,32.5,35.8,80057,14.8,15.4,6.9,A1,26260,Downtown
30.6,47263,31.1,30.4,31473,3.5,27.2,11.5,A7,9691,East Boston
39.4,38924,21.1,38.4,32744,1.9,13.8,21.3,E18,12551,Hyde Park
34.8,40867,32.5,33.7,51655,5.5,8.0,12.1,E13,12802,Jamaica Plain
36.7,26659,20.9,29.8,28356,2.3,14.5,22.9,B3,28331,Mattapan
32.5,54161,27.8,17.8,20978,2.9,23.0,18.9,B2,38877,Roxbury
31.9,36772,46.1,24.7,64745,2.4000000000000004,7.9,8.4,C6,16617,South Boston
37.1,32571,33.9,28.3,83609,6.2,11.8,8.5,D4,31258,South End
42.8,33526,18.1,46.2,47836,1.9,6.5,13.2,E5,9406,West Roxbury
